"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Witajcie, inspektorze."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","Skontrolowaliśmy waszą ostatnią działalność."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Wykryto wasz związek z grupą znaną<br>jako Zakon Gwiazdy Ezica."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Niektórzy członkowie grupy zostali aresztowani w Arstoczce."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","W toku przesłuchań co najmniej jeden z nich<br>przyznał się do otrzymywania waszej pomocy."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","Oznacza to najwyższego stopnia zdradę stanu."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Żegnajcie, inspektorze."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","Egzekucja odbędzie się dziś w nocy."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Los waszej rodziny jest nieznany."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","Zakon zniszczono. Sprawiedliwość została przywrócona."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[Ktoś wsuwa pod drzwiami list do celi]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","INSPEKTORZE - ZDRADZILIŚCIE NAS W OSTATNIEJ CHWILI"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","TEN ROZDZIAŁ DZIEJÓW EZIC JEST SKOŃCZONY<br>NIE MOŻEMY POMAGAĆ WASZEJ RODZINIE"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","Granica została przerwana."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","To wielki dzień dla Zakonu Gwiazdy Ezica,<br>lecz zdradziliście nas w ostatniej chwili."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC rośnie w siłę, zaś skorumpowani i chciwi słabną."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Wasza zdrada oznacza, że opowiedzieliście się po złej stronie."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","Nie ma miejsca dla was i waszej rodziny<br>w szeregach rewolucji."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Żegnajcie, inspektorze."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Niech żyje Nowa Arstoczka!"
"end:help-few-ezic","Hello inspector.","Witajcie, inspektorze."
"end:help-few-ezic","We have audited your recent activities.","Skontrolowaliśmy waszą ostatnią działalność."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Wykryto wasz związek z grupą znaną jako Zakon Gwiazdy Ezica."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Niektórzy członkowie grupy zostali aresztowani w Arstoczce."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","W toku przesłuchań co najmniej jeden z nich przyznał się do otrzymywania waszej pomocy."
"end:help-few-ezic","This represents treason of the highest order.","Oznacza to najwyższego stopnia zdradę stanu."
"end:help-few-ezic","Goodbye inspector.","Żegnajcie, inspektorze."
"end:help-few-ezic","The execution is scheduled for tonight.","Egzekucja odbędzie się dziś w nocy."
"end:help-few-ezic","Your family's safety is unknown.","Los waszej rodziny jest nieznany."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","Zakon zniszczono. Sprawiedliwość została przywrócona."
"end:help-few-ezic","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","Wsiadacie do nocnego pociągu na Terytoria Północne.<br>Jest niemal pusty."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","Płacicie za podrobiony w pośpiechu paszport<br>i kwit repatrianta. Wyglądają okropnie."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","Płacicie za podrobione w pośpiechu paszporty<br>i kwity repatrianta. Wyglądają okropnie."
"end:escape","You reach the border crossing at dawn. The line is immense.","Docieracie do przejścia o świcie. Kolejka jest ogromna."
"end:escape","Six hours later.","Sześć godzin później."
"end:escape","Your documents.","Wasze dokumenty."
"end:escape","Here.","Proszę."
"end:escape","You are entering alone?","Przyjeżdżacie sami?"
"end:escape","Yes.","Tak."
"end:escape","I come to visit relatives.","Zamierzam odwiedzić krewnych."
"end:escape","No, my family as well.","Nie, jest ze mną moja rodzina."
"end:escape","Hand over all documents now.","Proszę wszystkie dokumenty."
"end:escape","We come to visit relatives.","Zamierzamy odwiedzić krewnych."
"end:escape","I do not care why you come. Wait here.","Nie interesują mnie wasze zamiary. Proszę czekać."
"end:escape","*KACHUNK*","*STUK*"
"end:escape","Welcome to Obristan. Next!","Witamy w Obristanie. Następny!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Inspektorze! Cóż za wspaniały dzień!"
"end:help-ezic-hold-fire","The border has been pierced.","Granica została przerwana."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC rośnie w siłę, zaś skorumpowani i chciwi słabną."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","Przeniesiemy was do lepszego mieszkania."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Wasza służba inspektora dobiegła końca.<br>Potrzebujemy agentów."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Przyłączcie się do nas, a razem dokonamy rewolucji!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Niech żyje Nowa Arstoczka!"
"end:ignore-ezic","Hello inspector.","Witajcie, inspektorze."
"end:ignore-ezic","We have audited your activities for the past 20 years.","Monitorowaliśmy wasze działania przez ostatnie 20 lat."
"end:ignore-ezic","There are some anomalies.","Wykryliśmy pewne odstępstwa od normy."
"end:ignore-ezic","But you have served Arstotzka well.","Mimo tego wiernie służyliście krajowi."
"end:ignore-ezic","We will overlook these small transgressions.","Dlatego przymkniemy oko na te drobne wykroczenia."
"end:ignore-ezic","You have been cleared of any suspicion.","Zostaliście oczyszczeni z wszelkich podejrzeń."
"end:ignore-ezic","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:ignore-ezic","A new agreement has been reached with Kolechia.","Zostało osiągnięte nowe porozumienie z Kolechią."
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","Punkt odprawy granicznej w Grestin<br>wkrótce znów zostanie otwarty."
"end:ignore-ezic","Return to your post on January 1st.","Wracacie na swój posterunek pierwszego stycznia."
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","KOD ODBLOKOWUJĄCY GRĘ BEZ KOŃCA: 62131"
"endless:timed","Timed","Na czas"
"endless:timed","Process as many travelers as possible in 10 minutes.","W ciągu 10 minut odpraw jak największą ilość podróżnych."
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","GRA BEZ KOŃCA - NA CZAS

W ciągu 10 minut odpraw jak największą ilość podróżnych. Za jednego podróżnego otrzymujesz 1 punkt. Każde upomnienie skraca twój czas o pół minuty."
"endless:perfection","Perfection","Perfekcja"
"endless:perfection","Game over at first penalty. Earn dwindling points.","Pierwsza kara kończy grę. Premie maleją z czasem."
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.","GRA BEZ KOŃCA - PERFEKCJA

Zarabiaj punkty za odprawianie podróżnych. Nie możesz otrzymywać upomnień. W pierwszej minucie za jednego podróżnego otrzymujesz 10 punktów, z każdą kolejną minutą stawka maleje o jeden punkt. Pracuj szybko."
"endless:endurance","Endurance","Wytrzymałość"
"endless:endurance","Play until balance goes negative. Avoid penalties.","Graj, póki saldo nie zejdzie poniżej zera. Unikaj kar."
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.","GRA BEZ KOŃCA - NA WYTRZYMAŁOŚĆ

Odprawiaj podróżnych, póki twoje saldo nie spadnie poniżej zera. Każde kolejne upomnienie nakłada coraz większą karę punktową. Twój najlepszy wynik zostanie zapisany."
"endless:course1","Course 1","Kurs 1"
"endless:course2","Course 2","Kurs 2"
"endless:course3","Course 3","Kurs 3"
"endless:course4","Course 4","Kurs 4"
"bullend:1A","Check rulebook for rules in effect.","Obowiązujące przepisy znajdziecie w księdze zasad."
"bullend:2A","Check rulebook for rules in effect.","Obowiązujące przepisy znajdziecie w księdze zasad."
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Obowiązujące przepisy znajdziecie w księdze zasad. Przy odmowie wydania wizy wymagany jest stempel POWODU ODMOWY.<f3></f3>"
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Obowiązujące przepisy znajdziecie w księdze zasad. Przy odmowie wydania wizy wymagany jest stempel POWODU ODMOWY.<f3></f3>"
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.","Zarządzajcie swoimi wydatkami, dokonując wyborów poniżej."
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.","Nie ma wynagrodzenia za petentów wchodzących po godzinie 18."
"night:PROGRESS_SAVED","Progress is saved at the start of each day.","Postęp jest zapisywany z początkiem każdego dnia."
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.","Dzień pracy został skrócony z powodu ataku terrorystycznego."
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.","Dzień pracy został skrócony z powodu ataku terrorystycznego."
"night:ATTACK_FIREDGUN","TRIGGER BONUS","PREMIA ZA BOJOWOŚĆ"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.","Dzień pracy został skrócony z powodu ataku terrorystycznego."
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS","PREMIA ZA CELNE OKO"
"night:POISONING","The day was cut short by a security incident.","Dzień pracy został skrócony z powodu naruszenia bezpieczeństwa."
"night:FAMILY_PICTURE","Your wife found an old family picture.","Wasza żona znalazła stare zdjęcie rodzinne."
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.","Dostępne nowe ulepszenie: SPACJA włącza tryb DOCHODZENIA."
"night:BUY_UPGRADE0","UPGRADE BOOTH","ULEPSZENIE STANOWISKA"
"night:BUY_UPGRADE0","Booth Upgrade Available: Multitouch.","Dostępne nowe ulepszenie: Multidotyk."
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.","Dostępne nowe ulepszenie: TAB pokazuje / chowa pasek stempla."
"night:BUY_UPGRADE1","UPGRADE BOOTH","ULEPSZENIE STANOWISKA"
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.","Dostępne nowe ulepszenie: skróty księgi zasad."
"night:BUY_UPGRADE2","UPGRADE BOOTH","ULEPSZENIE STANOWISKA"
"night:BUY_UPGRADE3","Booth Upgrade Available: Double-click for quick INSPECT.","Dostępne nowe ulepszenie: Dwuklik rozpoczyna szybką INSPEKCJĘ."
"night:BUY_UPGRADE3","UPGRADE BOOTH","ULEPSZENIE STANOWISKA"
"night:APARTMENT_RENT","The rent has gone up.","Koszty czynszu wzrosły."
"night:APARTMENT_UPGRADE","A cheaper class 8 apartment is available (Rent = 25, Heat = 10)","Jest dostępny tańszy lokal kategorii C8 (czynsz = 25, ogrzewanie = 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-8","PRZEPROWADZKA DO KAT. 8"
"night:APARTMENT_UPGRADE","A class-7 apartment is available. (Rent = 30, Heat = 10)","Lokal kategorii C7 jest dostępny (czynsz = 30, ogrzewanie = 10)."
"night:APARTMENT_UPGRADE","MOVE TO CLASS-7","PRZEPROWADZKA DO KAT. 7"
"night:APARTMENT_UPGRADE","A class-6 apartment is available. (Rent = 40, Heat = 5)","Lokal kategorii C6 jest dostępny (czynsz = 40, ogrzewanie = 5)."
"night:APARTMENT_UPGRADE","MOVE TO CLASS-6","PRZEPROWADZKA DO KAT. 6"
"night:APARTMENT_UPGRADE","A class-5 apartment is available. (Rent = 50, Heat = 0)","Lokal kategorii C5 jest dostępny (czynsz = 50, ogrzewanie = 0)."
"night:APARTMENT_UPGRADE","Class-5 is the best a worker can have.","Pracownik nie może mieć lepszego lokalu niż C5."
"night:APARTMENT_UPGRADE","MOVE TO CLASS-5","PRZEPROWADZKA DO KAT. 5"
"night:SON_BIRTHDAY","Your son's birthday is in 2 days.","Za dwa dni są urodziny waszego syna."
"night:SON_BIRTHDAY2","Your son's birthday is tomorrow. He wants an expensive crayon set.","Jutro są urodziny waszego syna. Chciał dostać drogi zestaw kredek."
"night:SON_BIRTHDAY2","SON'S GIFT","PREZENT DLA SYNA"
"night:SON_BIRTHDAY3","Your son has drawn a picture for you to take to work.","Wasz syn narysował dla was obrazek do pracy."
"night:NIECE","Your sister has been arrested. Her young daughter needs a home.","Wasza siostra została aresztowana. Jej młoda córka potrzebuje domu."
"night:NIECE","ADOPT NIECE","ADOPCJA SIOSTRZENICY"
"night:NIECE2_YES","Your niece has brought her mother's savings.","Wasza siostrzenica przyniosła oszczędności swojej matki."
"night:NIECE2_YES","SISTER'S SAVINGS","OSZCZĘDNOŚCI SIOSTRY"
"night:NIECE2_NO","Your niece has disappeared.","Wasza siostrzenica zaginęła."
"night:FRIENDLY_GUARD_PAYOUT","A young woman dropped off something.","Młoda kobieta coś wam podrzuciła."
"night:FRIENDLY_GUARD_PAYOUT","ELISA'S GIFT","PREZENT OD ELISY"
"night:DETAIN_PAYOUT","DETAIN BONUS","PREMIA ZA ZATRZYMANIE"
"night:EZIC_PAYOUT","A strange man brought money. Uncheck to burn it.","Dziwny człowiek przyniósł pieniądze. Odznacz pole, żeby je spalić."
"night:EZIC_PAYOUT","EZIC GIFT","PODARUNEK OD ZAKONU"
"night:EZIC_PAYOUT_RETRY","A strange man brought money again. Uncheck to burn it.","Dziwny człowiek znowu przyniósł pieniądze. Odznacz pole, żeby je spalić."
"night:EZIC_PAYOUT_RETRY","EZIC GIFT","PODARUNEK OD ZAKONU"
"night:EZIC_TAKESAVINGS","The neighbors have reported your new wealth.","Sąsiedzi donieśli władzom o waszym nowym majątku."
"night:EZIC_TAKESAVINGS","The Ministry of Income has confiscated your savings pending investigation.","Ministerstwo Dochodu na czas śledztwa przejęło wasze oszczędności."
"night:EZIC_CLEARED","The Ministry of Income has cleared all wrongdoing.","Ministerstwo Dochodu zajęło się wszelkimi uchybieniami."
"night:EZIC_CLEARED","Your savings will not be returned.","Wasze oszczędności nie zostaną zwrócone."
